URL,レビュー,★の数
https://www.amazon.co.jp/dp/463592498X,"付録のたき火フライパンにつられて購入しました。
思っていたよりしっかりした作りで、長く愛用できそうです。
もとはシルバー色ですが、シーズニングするといい感じで焼き色がつきました。週末のキャンプで活躍してくれそうです。
雑誌の内容もさらっと読めて面白かったです。",5.0
https://www.amazon.co.jp/dp/463592498X,"このフライパンはいいです！
買って正解でした！
シーズニングするのが楽しみです。
本の内容も楽しめて参考になりました。",5.0
https://www.amazon.co.jp/dp/463592498X,付録目的で買ったが、ソロキャンプに関する記事の内容が素晴らしい。キチンとマナーやエチケットに触れていることも好評価。ソロキャンプを考えている人やビギナーにとってはバイブルレベルかと思う。,5.0
https://www.amazon.co.jp/dp/463592498X,"ソロキャンプが初めてという人にお勧めします。
自由なスタイルが紹介されています。",5.0
https://www.amazon.co.jp/dp/463592498X,定価の2倍以上の金額を出したにも関わらず付録がついておらずまた返品することになった。交換もできない商品と言われ単純に手間だけかかった。適当に仕事するなら仕事しないでいただきたい。,1.0
https://www.amazon.co.jp/dp/463592498X,Fast Delivery! A+++++++,5.0
https://www.amazon.co.jp/dp/4331522628,"タイトルに惹かれ、著者がソロキャンパーとして第二の人生を歩んでいるらしい評判を耳にし、
軽い気持ちで購入し読んだのだが、著者の幼児性が酷く、読むのが辛かった。
死生観はなく、ただの場当たり的な愚痴の羅列で一貫性もなく、ソロキャンパーとしての自然への畏敬思想もありません。
ポイントと要点が太字で書かれているので、気になる方はご購入前に書店で少しでも立ち読みすることを勧めます。

私は、彼の芸人というイバラある人生と、処世術的な面従腹背を嫌う愚直そうな性格から、
「ひとりで死ぬための・・・」というテーマに関心がありましたが、
書かれているのは
＊
僕が理想とする死に方は、下着姿になってくれる若い女の子を雇って、
ベッドの中でその子のおっぱいを吸いながら、あの世に旅立つことだ。
家族に看取られていたら、こんな欲望、叶えられるはずがない。
自分の全財産を渡せば、そのくらいのことをやってくれそうな子はいそうなものだ。
＊
とのこと。金で若い女を買うから家族はいらないと。
その他のテーマでも、妬ましい、妬ましい、妬ましい。が延々と続く。
大金が欲しい、女が欲しい。という本心が散見。
生まれ変わったら異世界で勝ち組に転生し、金持ちでハーレムな生活を送るといった類の
アニメに没頭している方にはぴったりマッチングするのかも知れません。

いや、愚直そうな著者のイメージが一新しました。
そして、芸人タレント本はもう買いません。",1.0
https://www.amazon.co.jp/dp/4331522628,一人で生きていく「理論」については共感できる所が多々あります。が、YouTubeでの活動に関してはなんだかんだで人とつるんでるものが多くないですか？人を信じすぎないことが自分を守ることなのであれば集団キャンプを楽しむって事は矛盾してるような…。趣味が同じであれ他人は他人ですよね？またそれをアップすると言うことはお互いの信頼に関わることではないんですかねぇ？結局本当に一人ではない人の話なのででまだまだかなり余裕を感じます。,4.0
https://www.amazon.co.jp/dp/4331522628,"人と簡単に繋がれて、簡単にいなくなる薄い関係がますます進むと思われる時代に合った本だと思った。
他人（家族含め）に期待するから自分が傷つく。だったら一人の方がいい。
今までの当たり前（結婚しないといけない、家族を持つのが当然など）が社会にマッチしていないこれからを生きる１つの指針となる内容だ。
ご本人が乗り越えてきた苦しみを客観的にとらえて、第三者も感銘する生き方指南となっている。",5.0
https://www.amazon.co.jp/dp/4331522628,"結婚観や人間関係について、ほとんど同じ考えなのでびっくり。某旅番組でも自然体でいいな〜と思ってましたが、この本もぶっちゃけてておもしろいです。
看取られ方の理想についてと、マッサージ屋さん開業の妄想のところが最高。",5.0
https://www.amazon.co.jp/dp/4331522628,"昔からのファンでしたが、「働き方1.9…」といい、今回の新刊（コレ）といい、同年代で働き方、生き方、悩み等共感を覚えました。
幼少期から今に至るまでのエピソードがほぼ全てが被り、自分の生き方、考え方にヒントと云うより答えを読めました。
仮面や鎧を着たままでは本当にやりたいこと、自分が見えないこと、自分にとってのシアワセとは何だろうか？
金・肩書き･権力・プライドが全てと思う人は読んだところで何も得るものはないと思います。

今、境遇から抜け出したい、自分が解らない、にとっては現代社会での生き方の地図になり、行き着く道しるべになる本です。

「どうせヒロシがまたネタ本かいたんだろ？！」と思う方は理解が出来ないでしょう。
病んだ事のある人や共感が持てる人には肩の荷を降ろせるバイブルになります。",5.0
https://www.amazon.co.jp/dp/4331522628,ヒロシのそのまんまが書かれていた。ごく普通に一人で淡々と生きていくスタイル。ごく普通だが、でもその普通さの中に大事な生き方のヒントがあるような気がする。もう一度、自分の生き方を見直すべきだと感じた。,4.0
https://www.amazon.co.jp/dp/4331522628,内容がとても良いです、何回でも読み返したい本です。,5.0
https://www.amazon.co.jp/dp/4331522628,"仕事や家庭、人間関係が重荷になっているなら無理して続けることはない。
そこから脱け出して、やりたいことをやればいい。
そんなふうに生きてもいいんだよと教えてくれる。
人から変な奴だと思われても気にしないことが大事。
人生にやらなければならない事など、本当はひとつもないことがわかる。
心が軽くなりました。",5.0
https://www.amazon.co.jp/dp/486673180X,先程届きました。初心者向けです。キャンプに興味を持ってこれから始めてみようかなと思う方には読んでみる価値はあると思いますが、ある程度キャンプに行き経験を重ねた方にとっては無くても困らない読み物だと思います。帯だけの情報で買ってしまったことをちょっと後悔しました。試し読みしてから必要な方は購入された方がよいと思います。何かの役に立つかなと試しに買うほどではありませんでした。価格もやや高めに感じられました。,3.0
https://www.amazon.co.jp/dp/486673180X,"キャンプを初めて8年目ですが、既に知っている情報ももちろんありましたが、知らなかった情報、間違って覚えていた情報、何となく知ってたけど理由までは知らなかった情報などなど、初心者キャンパーはもちろん、ベテランキャンパーも自分の知識を再確認出来る、全てのキャンパーにお勧め出来る内容かと思います。
またそれぞれの雑学について、チョイ足し知識が書いてあるのですが、これが特に面白かったです。
キャンプに持っていきやすい様、単行本サイズになっている点も良いと思いました。",5.0
https://www.amazon.co.jp/dp/486673180X,"本書はタイトル通り、これからキャンプを始めようと考えている人や、興味はあるけどなかなか踏み出せない人が知っておくと、キャンプをより楽しく快適なものにできる『雑学』が読みやすくシンプルにまとめられたものです。
よって既にキャンプに慣れ親しんだ方にとっては既知の情報や常識レベルの内容も少なからずあろうかと思います。
そもそも本書のコンセプトが高度な専門知識やマニアックな情報を扱うものではないので、その前提で読むべきものかと思います。
冒頭に書いたようなキャンプビギナーの方にとっては目から鱗な内容や、知っておくといざという時に役立つであろう内容が沢山盛り込まれているので、楽しみながら読めるものではないでしょうか！",5.0
https://www.amazon.co.jp/dp/486673180X,"キャンプに行ったことない人が読む本
キャンプ経験がある人が勉強になるのは10%ぐらいで、あとは基本的なこと
10%もネットで調べれば出てくるような事ばかりで呆れた
キャンプブームに乗っかって金儲けしようとする魂胆が見え見えな本である",1.0
https://www.amazon.co.jp/dp/486673180X,"キャンプをしている中で「こういうもんかな」となんとなく感じていたことや逆に勘違いしていたことが経験豊富な著者の言葉できちんと説明されていて、ふに落ちる瞬間が多くありました。
キャンプ友だちとクイズ形式で出し合うと盛り上がるのでオススメです。",5.0
https://www.amazon.co.jp/dp/486673180X,玄人も眉唾との評判で購入。99％知っている事ばかりだった。これからキャンプを始める人にとってはわかりやすく素晴らしい本だと思う。,3.0
https://www.amazon.co.jp/dp/486673180X,"大型本かと思ったら案外小さい、表紙のアイデア満載に期待は膨らんだものの内容は、作者の体験箇条書きの文字中心です。
1100円＋税〜3000円で販売され入手困難、そこらのキャンプ入門本と内容はかぶります、この本でなければという特徴は私には感じられませんでした。",2.0
https://www.amazon.co.jp/dp/486673180X,キャンプをはじめて2年ほどですが、まだまだ知らないことが山ほどあることをこの本を読んで気づきました。著者の何十年にもわたるアウトドアの経験をわずか2時間ほどの読書で体得できるなんてお得すぎる。繰り返し読んで我が家のバイブルにしたいと思います。,5.0
https://www.amazon.co.jp/dp/4635330745,"黒部源流部にある小屋での出来事を色々と書き連ねてあります。小屋開けから小屋締めまでの様々な出来事を優しいタッチの画とこれまた読みいってしまう文章で書かれています。黒部源流部の地図や山小屋の内部、クマなどの野生動物の被害、トイレ事情など画を含めて内容盛りだくさんすぎて、読めば読むほどエア山小屋従業員になったと思うほどでした。
しかも語り口調は自然とは…と上から目線でなく、下界からすると眉をひそめるような出来事さえも、ま、いっか！と思わせてくれるようなものです。
私のような山登りをほとんどしたことのないような者にとっては黒部の源流部たるや3000m級の山々を大縦走したことのあるような御方でないと行くことは出来ないと勝手に考えていたのですが、この本を読んでから、自然を制覇するために山に登るのではなく、大変かもしれないし、到着はかなわないかもしれないが、自然と付き合いながら自分の目で黒部の景色を見てみたい…と心の底から思うのでした。",5.0
https://www.amazon.co.jp/dp/4635330745,"小屋開けの仕事、山小屋の闖入者（動物）、食材、食事の段取り、この本にしか書かれてないであろう情報、エピソードがあり、山小屋の日常が浮かんできて楽しいです。きっと、人里離れた地での生活であり、仕事はそれなりに労苦あると思いますし、そのようなエピソードもありますが、著者のポジティブな人柄と自然への敬愛のせいでしょうね、楽しい読み物になっています。山小屋の暮らしって仙人みたいな感じかと思っていましたが、もっと等身大で、生身の、山を愛する仲間の一人として親近感湧きました。

Kindle版を選びましたが、黒部、立山の土地勘がない人は話に出てくる場所や山小屋の位置関係をチェックするのに地図のページと行き来するのがKindleだと面倒臭いので、紙の版をおすすめします。",5.0
https://www.amazon.co.jp/dp/4635330745,山小屋の調理担当としての視点で立山の奥地にある宿泊施設をさまざまな角度から描かれていて、おもしろい。実際に宿泊したこともあって、場面を思い出しながら読みました。片道7、8時間かけて行った行程もなつかしく、また行きたいし、つりもしてみたいと思いました。,5.0
https://www.amazon.co.jp/dp/4635330745,"山小屋の生活がとてもよく分かりました。
そして何より楽しく読む事が出来ました。
山の話は色々あるけど、説教めいた話より苦労話を楽しく聞かせてくれる方が興味が湧きます。
薬師沢小屋には泊まった事がありますが、また泊まりたくなりました。",5.0
https://www.amazon.co.jp/dp/4635330745,"普段、海で釣り三昧のため、山は知識なし興味なし全く知らずでしたが、Kindleの日替わりセールでお得だったので興味があり購入

山小屋の四季と云うのか、普段山登りなんてしない知識のない者が読んでもわかりやすく解説があり、とても興味深い世界で山小屋の縁の下の力持ち、裏方さんの奮闘などとても面白かった。",5.0
https://www.amazon.co.jp/dp/4635330745,"山小屋生活の話も面白いのですが、優しさあふれるイラストに癒やされました！
合わせて黒部の山賊も読まれることをオススメします。",5.0
https://www.amazon.co.jp/dp/4635330745,"本当に楽しく読めました。何より作者さんが忙しいながらも楽しい日々を送っていることが伝わってきます。
行きたくなりましたね、黒部川源流。いや、是非行ってみよう！",5.0
https://www.amazon.co.jp/dp/4635330745,中年層の我々には夢のような生活です。憧れる生活ですが、家族を持つ自分には一生無理。でもこの本を読めば少しは、その気になれそうです。,5.0
